64822927,sea_of_shoes,101586,570
19212009,WhoWhatWear,2102650,1594
24190981,TeenVogue,2589434,2819
22830044,rumineely,122311,304
21401466,VogueRunway,1606888,637
21208444,BarneysNY,460646,2337
17475920,BagSnob,165175,888
19546942,Refinery29,1110117,1362
228379737,thecoveteur,155131,2766
20779908,carolinaengman,42164,107
183016276,IntoTheGloss,140521,1421
136361303,voguemagazine,10938490,534
35443315,stylescrapbook,70167,545
24599923,alexa_chung,1570907,429
92577188,evachen212,137511,564
141598384,ManRepeller,357481,342
7092102,bryanboy,589937,2443
20298371,AIMEESONG,62401,359
204491797,neimanmarcus,370001,1664
28726228,theglamourai,60187,464
24597041,HanneliM,61097,412
19390810,NETAPORTER,828970,1663
16935734,susiebubble,277362,3942
32469566,harpersbazaarus,1483060,845
90963591,SincerelyJules,56630,436
16945578,garancedore,498613,161
112700733,garypeppergirl,34354,829
15090453,gerihirsch,16548,384
49072254,MrStreetPeeper,28533,414
25906700,GalaGonzalez,84468,977
21190774,tuulavintage,38886,415
38527593,_lefashion_,15820,659
250314584,JBrandJeans,67040,743
33587619,peaceloveSHEA,28809,441
137025232,elinkling,32466,3
183734502,proenzaschouler,545088,758
15933910,Fashionista_com,1912513,763
15934926,LuckyMagazine,468440,1911
44415931,OscardelaRenta,345354,464
40090727,ChiaraFerragni,273886,153
